date,region,market,commodity,min_price,max_price,unit,source_pdf,page,table_title,row_number
2026-08-10,Songwe,Songwe,Irish Potatoes (Viazi Mviringo),100000,120000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,18
2026-08-10,Tabora,Tabora,Maize (Mahindi),55000,60000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,19
2026-08-10,Tabora,Tabora,Rice (Mchele),190000,220000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,19
2026-08-10,Tabora,Tabora,Sorghum (Mtama),170000,200000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,19
2026-08-10,Tabora,Tabora,Bulrush Millet (Uwele),150000,200000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,19
2026-08-10,Tabora,Tabora,Finger Millet (Ulezi),200000,210000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,19
2026-08-10,Tabora,Tabora,Wheat Grain (Ngano),280000,300000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,19
2026-08-10,Tabora,Tabora,Beans (Maharage),210000,220000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,19
2026-08-10,Tabora,Tabora,Irish Potatoes (Viazi Mviringo),110000,120000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,19
2026-08-10,Geita,Nyankumbu,Maize (Mahindi),95000,95000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,20
2026-08-10,Geita,Nyankumbu,Rice (Mchele),220000,220000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,20
2026-08-10,Geita,Nyankumbu,Sorghum (Mtama),150000,150000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,20
2026-08-10,Geita,Nyankumbu,Bulrush Millet (Uwele),200000,200000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,20
